2025-01-11 16:18:01 DEBUG Connection:131 - {conn-10001,procId-1382} connected
2025-01-11 16:18:01 DEBUG Statement:136 - {conn-10001, stmt-20000} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10001, stmt-20000, rs-50000} query executed. 182.7038 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10001, stmt-20000, rs-50000} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10001, stmt-20000, rs-50000} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10001, stmt-20000, rs-50000} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10001, stmt-20000} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10002,procId-1383} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10002, stmt-20001} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10002, stmt-20001, rs-50001} query executed. 0.4621 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10002, stmt-20001, rs-50001} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10002, stmt-20001, rs-50001} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10002, stmt-20001, rs-50001} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10002, stmt-20001} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10003,procId-1384} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10003, stmt-20002} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10003, stmt-20002, rs-50002} query executed. 0.4906 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10003, stmt-20002, rs-50002} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10003, stmt-20002, rs-50002} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10003, stmt-20002, rs-50002} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10003, stmt-20002} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10004,procId-1385} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10004, stmt-20003} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10004, stmt-20003, rs-50003} query executed. 0.4446 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10004, stmt-20003, rs-50003} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10004, stmt-20003, rs-50003} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10004, stmt-20003, rs-50003} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10004, stmt-20003} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005,procId-1386} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, stmt-20004} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, stmt-20004, rs-50004} query executed. 0.4083 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, stmt-20004, rs-50004} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, stmt-20004, rs-50004} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, stmt-20004, rs-50004} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, stmt-20004} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005} created. select player_id, name, mails_read, mails_collect from player
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005} Parameters : []
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005} Types : []
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005, rs-50005} query executed. 2.5214 millis. select player_id, name, mails_read, mails_collect from player
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Header: [player_id, name, mails_read, mails_collect]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192701760241664, content, title, {}, {}, 2025-01-11 15:57:26.0, 2025-02-11 15:57:26.0, 2025-01-11 15:57:26.0, 2025-01-11 15:57:26.0, 532125159545372672, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192701781213184, content, title, {}, {}, 2025-01-11 15:57:26.0, 2025-02-11 15:57:26.0, 2025-01-11 15:57:26.0, 2025-01-11 15:57:26.0, 532125159977385984, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192701806379008, content, title, {}, {}, 2025-01-11 15:57:26.0, 2025-02-11 15:57:26.0, 2025-01-11 15:57:26.0, 2025-01-11 15:57:26.0, 532125159977385984, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192701831544832, content, title, {}, {}, 2025-01-11 15:57:26.0, 2025-02-11 15:57:26.0, 2025-01-11 15:57:26.0, 2025-01-11 15:57:26.0, 532125159901888512, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192701852516352, content, title, {}, {}, 2025-01-11 15:57:26.0, 2025-02-11 15:57:26.0, 2025-01-11 15:57:26.0, 2025-01-11 15:57:26.0, 532125159914471424, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192701877682176, content, title, {}, {}, 2025-01-11 15:57:26.0, 2025-02-11 15:57:26.0, 2025-01-11 15:57:26.0, 2025-01-11 15:57:26.0, 532125160006746112, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192701902848000, content, title, {}, {}, 2025-01-11 15:57:26.0, 2025-02-11 15:57:26.0, 2025-01-11 15:57:26.0, 2025-01-11 15:57:26.0, 532125159595704320, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192701928013824, content, title, {}, {}, 2025-01-11 15:57:26.0, 2025-02-11 15:57:26.0, 2025-01-11 15:57:26.0, 2025-01-11 15:57:26.0, 532125159914471424, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192701957373952, content, title, {}, {}, 2025-01-11 15:57:26.0, 2025-02-11 15:57:26.0, 2025-01-11 15:57:26.0, 2025-01-11 15:57:26.0, 532125159193051136, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192705774190592, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125160195489792, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192705799356416, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125159545372672, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192705820327936, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125160065466368, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192705849688064, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125159545372672, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192705874853888, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125160006746112, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192705900019712, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125159545372672, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192705925185536, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125160195489792, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192705946157056, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125159507623936, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192705971322880, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125159545372672, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192705996488704, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125159977385984, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192706017460224, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125159977385984, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192706038431744, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125159901888512, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192706059403264, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125159914471424, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192706084569088, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125160006746112, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192706105540608, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125159595704320, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192706130706432, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125159914471424, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192706147483648, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125159595704320, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192706168455168, content, title, {}, {}, 2025-01-11 15:57:27.0, 2025-02-11 15:57:27.0, 2025-01-11 15:57:27.0, 2025-01-11 15:57:27.0, 532125159193051136, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710090129408, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125159545372672, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710111100928, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125160065466368, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710136266752, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125159545372672, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710161432576, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125160006746112, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710182404096, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125160195489792, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710207569920, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125159545372672, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710228541440, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125159507623936, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710253707264, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125159977385984, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710270484480, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125159545372672, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710295650304, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125160195489792, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710320816128, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125159901888512, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710341787648, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125159977385984, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710362759168, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125159914471424, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710383730688, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125160006746112, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710408896512, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125159595704320, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710429868032, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125159914471424, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710446645248, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125159595704320, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710480199680, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125159641841664, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192710501171200, content, title, {}, {}, 2025-01-11 15:57:28.0, 2025-02-11 15:57:28.0, 2025-01-11 15:57:28.0, 2025-01-11 15:57:28.0, 532125159193051136, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192714347347968, content, title, {}, {}, 2025-01-11 15:57:29.0, 2025-02-11 15:57:29.0, 2025-01-11 15:57:29.0, 2025-01-11 15:57:29.0, 532125159545372672, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192714380902400, content, title, {}, {}, 2025-01-11 15:57:29.0, 2025-02-11 15:57:29.0, 2025-01-11 15:57:29.0, 2025-01-11 15:57:29.0, 532125159545372672, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192714410262528, content, title, {}, {}, 2025-01-11 15:57:29.0, 2025-02-11 15:57:29.0, 2025-01-11 15:57:29.0, 2025-01-11 15:57:29.0, 532125160065466368, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} Result: [533192714435428352, content, title, {}, {}, 2025-01-11 15:57:29.0, 2025-02-11 15:57:29.0, 2025-01-11 15:57:29.0, 2025-01-11 15:57:29.0, 532125160195489792, 532125159406960640]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20006, rs-50006} closed
2025-01-11 16:36:20 DEBUG Connection:131 - {conn 10005} rollback
2025-01-11 16:36:20 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 16:36:20 DEBUG Statement:136 - {conn-10005, pstmt-20006} clearParameters. 
2025-01-11 16:36:20 DEBUG Statement:136 - {conn-10005, stmt-20006} clearBatch. 
2025-01-11 16:36:20 DEBUG PreparedStatementPool:128 - {conn-10005, pstmt-20006} enter cache
2025-01-11 16:36:20 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 16:36:20 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 16:36:20 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 16:36:20 DEBUG Statement:136 - {conn-10005, pstmt-20007} created. select mail_id, content, title, attachment, filter, public_time, deadline, create_time, update_time from system_mail
2025-01-11 16:36:20 DEBUG Statement:136 - {conn-10005, pstmt-20007} Parameters : []
2025-01-11 16:36:20 DEBUG Statement:136 - {conn-10005, pstmt-20007} Types : []
2025-01-11 16:36:20 DEBUG Statement:136 - {conn-10005, pstmt-20007, rs-50007} query executed. 1.3255 millis. select mail_id, content, title, attachment, filter, public_time, deadline, create_time, update_time from system_mail
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} open
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Header: [mail_id, content, title, attachment, filter, public_time, deadline, create_time, update_time]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277107647905792, mVvvJpPTFdKDsMZVCGrfqTRFYWi, KOCytoQYY, {"529934124647972864": 756, "529934124694110208": 526, "529934124887048192": 830, "529935431798620160": 113}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108147027968, PvDibPIktuztWnZsAIzSTvJYY, besGcqM, {"529935431521796096": 201, "529935431643430912": 310}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108188971008, UbMFgzjgpsxMntRuBLkCF, xPTTuuXVE, {"529934124928991232": 918}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108230914048, gieGGIhyqqQlpgZzRTsLOcXkhZTBn, CAIFfN, {"529935431605682176": 344, "529935431836368896": 626}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108268662784, GuDIJcRSSQHHKQFBdrsFjMc, NejHHC, {"529934124727664640": 6, "529935431605682176": 332}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108306411520, ospggAfFENiPZxggHKggOQLtKHLY, rczLNJ, {"529934124887048192": 247, "529935431836368896": 746}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108344160256, dsGDnyAWnqUIhmIOCXndlJGYRaio, zfIUVeVNf, {}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108381908992, SEEwKKiRrehRkuAseQWKNVFTiG, oqtcAptX, {"529934124769607680": 649, "529935431681179648": 678}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108419657728, MJcTisrASbvAPnXBLwiXLIJ, feHfdJzk, {"529934124966739968": 245, "529935431643430912": 293, "529935431756677120": 268}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108453212160, AhWLoPesjZYwmiPWyWqte, DkFItWytE, {"529935430708101120": 195}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108495155200, IsYeYzwIRQDfGzdIdNXyjBHGBoIGS, hkQnHgV, {}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108528709632, mfTVqgZQfiOwWldNjclwYjSyduPf, BLhfdtdjs, {"529934124694110208": 770}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108566458368, YQJMWDevEEphwxIEYBmMWEx, TmdnYwIc, {"529934124694110208": 139}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108595818496, rXkFRcdKyqWVzlrKcuVIwXGz, QjfURaH, {"529934124647972864": 536, "529934124727664640": 974, "529934124928991232": 198}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108625178624, oJaFCEmtptfCijYXzpKGVIZWg, wqISCqbH, {}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108658733056, bevfQToWzIcHjcvvDQghV, vXKnllB, {"529934124928991232": 476, "529934124966739968": 315, "529935431798620160": 707}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108692287488, aqNptCkWCWaAjgjeGkUndmwLePXjK, qOypuiAJ, {"529934124966739968": 240, "529935431718928384": 430, "529935431836368896": 190}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108721647616, XhIqRcXgpedzYLDoYUYqxKh, MfamkfAYo, {"529934124928991232": 330, "529935431836368896": 2}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
2025-01-11 16:36:20 DEBUG ResultSet:141 - {conn-10005, pstmt-20007, rs-50007} Result: [530277108751007744, oANqyjviDkIAEUYaTrvfYnau, uzOwNXqi, {}, {}, 2025-01-03 14:51:55.0, 2025-02-03 14:51:55.0, 2025-01-03 14:51:55.0, 2025-01-03 14:51:55.0]
